epoch,train_loss,train_acc,video_acc,video_auc,video_eer,frame_acc,frame_auc,frame_eer
0,0.7819340041077945,0.8302290836653387,0.8602232854864433,0.9225311985486476,0.15121471954269383,0.8602232854864433,0.9225311985486476,0.15121471954269383
1,0.5551504038007136,0.9417081673306773,0.8916746411483254,0.9523616661804949,0.11647016791711022,0.8916746411483254,0.9523616661804949,0.11647016791711022
2,0.5074775109609285,0.960707171314741,0.8974162679425838,0.9527608136130652,0.11542755079332452,0.8974162679425838,0.9527608136130652,0.11542755079332452
3,0.48423395526124186,0.9707793824701195,0.9044338118022328,0.9610721575442254,0.10021436227222116,0.9044338118022328,0.9610721575442254,0.10021436227222116
4,0.4710664372520143,0.9753361553784861,0.8976076555023923,0.9579239160702389,0.11379063951411224,0.8976076555023923,0.9579239160702389,0.11379063951411224
5,0.4440448535865996,0.9839267928286852,0.8927591706539075,0.9562798657639425,0.10994998213638432,0.8927591706539075,0.9562798657639425,0.10994998213638432
6,0.43726209535066823,0.9860308764940239,0.8988835725677831,0.9535261253720171,0.11654387139870317,0.8988835725677831,0.9535261253720171,0.11654387139870317
7,0.4328744309238229,0.9878735059760956,0.9014992025518341,0.9592176056243096,0.10244730260807428,0.9014992025518341,0.9592176056243096,0.10244730260807428
8,0.4309345967859861,0.9879233067729084,0.8979904306220096,0.9530416286682939,0.11163206072725416,0.8979904306220096,0.9530416286682939,0.11163206072725416
9,0.4257023816445909,0.9899402390438247,0.9066028708133971,0.9597927560165054,0.10173276170060698,0.9066028708133971,0.9597927560165054,0.10173276170060698
10,0.41653109968777197,0.992417828685259,0.8884848484848484,0.961021247102811,0.10110753840657216,0.8884848484848484,0.961021247102811,0.10110753840657216
11,0.415703423891172,0.9928535856573705,0.9017543859649123,0.9616227500795462,0.1024473026080735,0.9017543859649123,0.9616227500795462,0.1024473026080735
12,0.41243621311577194,0.9933391434262948,0.9060287081339713,0.9623037794332345,0.09816005716336894,0.9060287081339713,0.9623037794332345,0.09816005716336894
13,0.4119772270321846,0.9941733067729084,0.8972886762360447,0.9579505378639278,0.10761330654218988,0.8972886762360447,0.9579505378639278,0.10761330654218988
14,0.4102201485301394,0.9947958167330677,0.8960127591706539,0.9604186972016048,0.10369774919614162,0.8960127591706539,0.9604186972016048,0.10369774919614162
15,0.4073477655471084,0.9952689243027888,0.9034768740031898,0.9605403398544166,0.102447302608074,0.9034768740031898,0.9605403398544166,0.102447302608074
16,0.4063589147006373,0.9956548804780877,0.9036682615629984,0.9623714606076023,0.09967845659118374,0.9036682615629984,0.9623714606076023,0.09967845659118374
17,0.4062420084656947,0.9961030876494024,0.9066028708133971,0.9631238702687888,0.09967845659163986,0.9066028708133971,0.9631238702687888,0.09967845659163986
18,0.4049818708364707,0.9963769920318725,0.9058373205741627,0.9643430487126579,0.09778968519592071,0.9058373205741627,0.9643430487126579,0.09778968519592071
19,0.4055053069890733,0.9961777888446215,0.9010526315789473,0.9609908962638636,0.10083958556627373,0.9010526315789473,0.9609908962638636,0.10083958556627373
